trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,pfr_id,pfr_name
1759,2023,4/28/23,DET,ARI,2023,5,168,0,NA,NA
1759,2023,4/28/23,ARI,DET,2023,3,96,0,NA,NA
1760,2023,4/29/23,NO,CHI,2023,4,115,0,NA,NA
1760,2023,4/29/23,NO,CHI,2023,5,165,0,NA,NA
1760,2023,4/29/23,CHI,NO,2023,4,103,0,NA,NA
1761,2023,4/29/23,LV,HOU,2023,4,109,0,NA,NA
1761,2023,4/29/23,LV,HOU,2023,5,174,0,NA,NA
1761,2023,4/29/23,HOU,LV,2023,4,104,0,NA,NA
1761,2023,4/29/23,HOU,LV,2023,6,203,0,NA,NA
1783,2023,8/24/23,HOU,ARI,2024,5,162,0,NA,NA
